@relation G__Datasets_5151_training_data_5151

@attribute text string
@attribute @@class@@ {neg,neu,pos}

@data
' सैम को लगता है कि सारी मुसीबत की जड़ उसका फोन है, तो वह अपने इस फोन को समुद्र में फैंक देता है, लेकिन थोड़ी देर बाद यही फोन फिर उसके पास होता है\r\n',neg
' सोनल चैहान ने ऐक्टिंग से ज्यादा ध्यान अपनी सेक्सी फीगर और लिप टु लिप किस को कैमरे के सामने अलग-अलग ऐंगल से परोसने में लगाया है\r\n',neg
' सोना चुराने के बाद टीम के एक मेंबर का लालच जाग जाता है और वह गद्दारी करते हुए खुद सोना ले भागता है\r\n',neg
' सोनू अब पिंकी को लीड किरदार में लेकर \'मिस लवली\' टाइटल से फिल्म बनाने का ऐलान करता है, लेकिन सोनू के पास ना तो फिल्म बनाने के लिए पैसा है और ना ही साधन\r\n',neg
' सौरभ वर्मा का ‍निर्देशन ठीक ठाक  है, लेकिन फिल्म में बड़े सितारों की कमी खलती है\r\n',neg
' इंटरवल के बाद कई सीन्स में डायलॉग डिलीवरी के वक्त टाइगर का चेहरा एकदम फ्लैट नजर आता है\r\n',neg
' स्कूल की सीनियर विंग के स्टूडेंट साहिल ( शिवम ) और उसके दोस्तों का अपना गैंग है, जो कभी क्लास में तो दिखाई नहीं देता लेकिन स्कूल ग्राउंड और कैंटीन में मौज-मस्ती करता जरूर दिखाई देता है \r\n',neg
' स्क्रिप्ट कई बार कमजोर पड़ती है\r\n',neg
' स्क्रिप्ट की खामियों की ओर उन्होंने ध्यान नहीं दिया और न ही अपने कलाकारों से वे ठीक से काम ले पाएं\r\n',neg
' स्क्रिप्ट में जो घटनाक्रम डाले गए हैं, वे बेवजह के लगते हैं\r\n',neg
' स्क्रिप्ट राइटर ने नए किरदारों को जोड़ा, लेकिन वे खास असर नहीं छोड़ पाएं\r\n',neg
' स्क्रीनप्ले की बात करना बेकार है\r\n',neg
' स्क्रीनप्ले की बात की जाए तो यहां भंसाली कमजोर रहे\r\n',neg
' स्क्रीनप्ले बेहद सपाट है और उसमें से थ्रिल गायब है जो एक हॉरर मूवी में जरूरी होता है\r\n',neg
' स्टडी और स्पोर्ट्स में गिप्पी काफी पीछे रहती है\r\n',neg
' स्टार्ट टु एंड पृथ्वीराज को फिल्म में मुश्किल से दर्जन भर डायलॉग भी नहीं मिले\r\n',neg
' इंटरवल के बाद फिल्म कई जगह कमजोर पड़ती है\r\n',neg
' स्टार्ट टु लास्ट पर्दे पर सबसे ज्यादा वक्त नजर आई लीड जोड़ी तमन्ना और जतिन के किरदार में प्रीत कमल और साहिल आनंद प्रभावहीन रहे\r\n',neg
' स्टार्ट टु लास्ट पांडा यहीं साफ कर पाए उनका बबलू हैपी है तो क्यों, बेशक उनका बबलू हैपी हो भी गया हो, लेकिन पांडा के प्रशसंक इस फिल्म को देखकर उनसे अपसेट ही होंगे\r\n',neg
' स्मृति के घर आने के बाद अचानक रहस्यमयी गतिविधियां शुरू हो जाती हैं\r\n',neg
' हंसिका मोटवानी और श्रुति हासन के पास करने के लिए ज्यादा कुछ नहीं था\r\n',neg
' हजारों सैनिकों के खिलाफ  मुट्ठी भर साथियों के साथ लड़ रहा हरक्यूलिस तब कई मीटर ऊंची और सैकड़ों टन वजनी पत्थर से बनी मूर्ति को उखाड़ कर गिरा देता है\r\n',neg
' हताश होकर एक बार वह आत्महत्या तक की नाकाम कोशिश कर चुका है\r\n',neg
' हबीब फैजल और आदित्य चोपड़ा ने मिलकर कहानी लिखी है, लेकिन कुछ नया नहीं सोच पाए\r\n',neg
' हमारे देश की न्याय प्रक्रिया बेहद जटिल और धीमी है\r\n',neg
' हर ओर से हताश हो चुका मंदाल अब अपनी जिंदगी खत्म करने का फैसला करता है\r\n',neg
' हर और आतंकी अपना खूनी तांडव खेल रहे है, आतंकियों की बंदूकों के निशाने पर बच्चे, महिलाएं, बुजुर्ग सभी हैं\r\n',neg
' इंटरवल के बाद फिल्म की गति सुस्त होती है\r\n',neg
' हर किरदार को समझना और उसके अगले कदम के बारे में अनुमान लगाना थोड़ा मुश्किल है, लेकिन बतौर निर्देशक रामू ने स्थिति स्पष्ट करने में बहुत ज्यादा वक्त ले लिया\r\n',neg
' हर चीज को बढ़ा-चढ़ा कर पेश किया गया है\r\n',neg
' हर फिल्म वे शॉट आड़े-तिरछे कोणों से शूट करते हैं और हर बार यह प्रयोग अच्छा लगे जरूरी नहीं है\r\n',neg
' हर वक्त अपनी अलग दुनिया में रहने वाले बेहद गुस्सैल बाला के रोल में बेशक अर्जुन ने अपनी ओर से अच्छा काम किया है, लेकिन उनकी डायलॉग डिलीवरी बेहद कमजोर है\r\n',neg
' हर वक्त अपने सपनों की दुनिया में गुम रहने वाली मीनाक्षी का हर छोटी बड़ी बात पर बेवजह चीखना-चिल्लाना समझ से परे है\r\n',neg
' हरियाणा के जाटलैंड एरिया में दबंग चौधरी सूरत सिंह ( प्रकाश राज) का दबदबा है\r\n',neg
' हल्की कहानी की वजह से अच्छे एक्टर्स भी फिल्म को संभाल नहीं   पाते हैं\r\n',neg
' हाँ कुछ कमियाँ भी हैं\r\n',neg
' हां, अगर आप इस बार पहले से ज्यादा बोल्ड सीन देखने की चाह लेकर थिएटर जा रहे हैं, तो निराश होंगे\r\n',neg
' हां, अगर टोटली मसाला और ऐक्शन फिल्मों के शौकीन है तो \'रज्जो\' से मिलकर अपसेट होंगे\r\n',neg
' इंटरवल के बाद फिल्म की स्पीड थम-सी जाती है\r\n',neg
' हार्दिक कुछ भी कहीं भी बोलने और करने में माहिर है तो लव को हर वक्त खूबसूरत लड़कियों का साथ चाहिए\r\n',neg
' हालांकि अब ऐसे लोगों की संख्या भी बढ़ रही है जिन्हें शादी नामक संस्था पर विश्वास नहीं है\r\n',neg
' हालांकि उनका रोल इस तरह नहीं लिखा गया है कि वे फिल्म में \'हीरो\' की तरह नजर आए,  इस वजह से दर्शक उनसे जुड़ नहीं पाते हैं\r\n',neg
' हालांकि परमा सिर्फ अपना बदला लेने के लिए जोया से इश्क करने का नाटक रचता है, लेकिन जोया का अचानक उसकी तरफ आकर्षित हो जाना, परमा पर यकीन कर गुपचुप शादी कर लेना विश्वसनीय नहीं है\r\n',neg
' हालांकि फिल्म में सहानुभूति बटोरने के लिए दया का पात्र बनाकर पेश किया गया है जो अखरता है\r\n',neg
' हालांकि हर सीक्वल पिछली की तुलना में कम प्रभावी रहा\r\n',neg
' हालांकि, इंटरवल के बाद कहानी की सुस्त रफ्तार और बेवजह ठूंसा गया आइटम नंबर समझ से परे है\r\n',neg
' हालांकि, इंटरवल से पहले की सुस्त रफ्तार फिल्म का माइनस पॉइंट है\r\n',neg
' हालांकि, ओवरऑल म्यूजिक की बात की जाए तो प्रीतम इस बार अपने संगीत से पहले जैसा जादू नहीं बिखेर पाए\r\n',neg
' हालांकि, ज्यादा ऐक्शन डालने के चलते प्रभु स्क्रिप्ट के साथ इंसाफ नहीं कर पाए\r\n',neg
' इंटरवल तक हॉल में बैठे दर्शक को पता नहीं चलता पर्दे पर क्या-कुछ हो रहा है तो इंटरवल के बाद ऐसा लगता है जैसे एड्स पर बनी कोई डाक्युमेंट्री देख रहे हो\r\n',neg
' हालात ऐसे बनते हैं कि रूद्र और राजा को न चाहकर भी चाचा की बाहुबली सेना में शामिल होना पडता है\r\n',neg
' हिंदू मां और मुस्लिम पिता की इकलौती सहर को नहीं मालूम कि माफिया को खत्म करने का रुद्रा का तरीका खूनखराबे से भरा है\r\n',neg
' हिरोइन का करियर ज्यादा लंबा नहीं सो मोटी रकम मिले तो माही को किसी करोड़पति की मैरिज पार्टी में जाने से परहेज नहीं है\r\n',neg
' हीरो, स्क्रिप्ट, निर्देशक पर तो वे भारी पड़े ही हैं, साथ ही खलनायक होने के बावजूद वे दर्शकों की सहानुभूति हीरो के साथ नहीं होने देते\r\n',neg
' हुआ यों था कि उनकी पत्नी फगुनिया पहाड़ से गिर गई थीं और समय पर अस्पताल नहीं पहुंच पाने की वजह से प्रसव के दौरान मर गई थीं\r\n',neg
' हॉल में बैठा दर्शक फिल्म शुरू होते ही फिल्म के क्लाइमेक्स के बारे में जान जाता है\r\n',neg
' हॉलीवुड मूवी ‘स्टेप अप’ से प्रेरित ‘एबीसीडी’ कई मामलों में कमजोर है\r\n',neg
'  बहुत ही थका हुआ स्क्रीनप्ले है और \'तुम बिन\' फेम प्रियांशु चटर्जी के अलावा कोई भी किरदार आपको अपने प्रति आकर्षित नहीं   करता है\r\n',neg
'‘एजेंट विनोद’ के साथ भी यही कहानी दोहराई है\r\n',neg
'‘ब्लड मनी’ की सबसे बड़ी समस्या इसकी स्क्रिप्ट है\r\n',neg
' इंटरवल से पहले कहानी की रफ्तार बेहद धीमी है\r\n',neg
'‘मटरू की बिजली का मंडोला’ अपेक्षाओं पर खरी नहीं उतरती है, बावजूद इसके देखी जा सकती है\r\n',neg
'’मांझी: द माउंटेन मैन’ में संवादों की भाषा किरदारों के अनुरूप नहीं है\r\n',neg
'1969 वाले प्रसंग को उस ऐतिहासिक घटना के साथ जोड़ा गया है जब नील आर्मस्ट्रांग चंद्रमा पर जा रहे थे, लेकिन यहां पर बोरिस से दोनों एजेंट्स की फाइट और आर्कनेट के जरिये पृथ्वी को बचाने वाले प्रसंग में थोड़ी अति हो गई है\r\n',neg
'80 के दशक में जब पायरेसी और नई फिल्मों को पहले ही दिन केबल टीवी पर दिखाए जाने का सिलसिला चरम पर था, इसी दौर में एक के बाद एक सिंगल स्क्रीन सिनेमाघरों के मालिक जब घाटे की भरपाई करने में नाकामयाब हुए तो उन्होनें सिनेमाघरों को बंद करना शुरू किया\r\n',neg
'अकेलेपन, मुफलिसी में जॉर्ज खुद को शराब के नशे में डुबो लेता है और साइलेंट फिल्मों का दौर भूतकाल में जमा हो गया\r\n',neg
'अक्सर देखने में आता है कि फिल्म को स्टाइलिश और रिच लुक देने में निर्देशक इतना खो जाता है कि फिल्म के कंटेंट पर उसका ध्यान कम जाता है\r\n',neg
'अगर आप  मस्तराम से मिलने जा रहे हैं तो पहले यह जान लीजिए कि सेंसर बोर्ड मस्तराम की मस्ती पर कुछ ऐसा मेहरबान हुआ कि फिल्म की रिलीज से चंद घंटों पहले फिल्म को अडल्ट सर्टिफिकेट के साथ क्लियर किया गया\r\n',neg
'अगर आप ‘बाहुबली’ को ध्यान में रखकर इस फिल्म को देखने जा रहे हैं तो शायद आपको निराशा हो खासकर फिल्म की स्टोरी के मामले में, एक्टिंग, स्पेशल इफेक्ट्स के साथ ही दूसरे सभी मामलों में ‘बाहुबली’, ‘पुली’ से काफी आगे थी\r\n',neg
'अगर दबंग के साथ बेशर्म की तुलना की जाए तो अभिनव इस बार पहले जैसा जादू नहीं चला पाए\r\n',neg
'अग्निपथ (2012) एक बदले की कहानी है\r\n',neg
' इंटरवल से पहले कहानी की सुस्त रफ्तार, लचर संवादों के अलावा कॉमिडी का बेहद कम डोज फिल्म का माइनस पॉइंट है\r\n',neg
'अपने बेटे के सपने और पैसे की तंगी के बीच जूझ कर हताशा में वह कहता है कि हम जैसे (मिडिल क्लास) लोगों को तो सपने ही नहीं देखना चाहिए\r\n',neg
'अब तो उनके एक्सपरिमेंट भी टाइप्ड हो गए हैं\r\n',neg
'अमजद नदीम का संगीत भी 21वीं सदी के हिसाब से काफी फीका सा रह गया है\r\n',neg
'असल घटनाओं पर आधारित इस फिल्म के फर्स्ट हाफ का स्क्रीनप्ले थोड़ा कमजोर सा लगता है\r\n',neg
'असल में उनके शूट किए गए हिस्से को ‍‍एडिट करने के चक्कर में एडिटर भी चकरा गया होगा\r\n',neg
'अहमदी के विरोध के स्वर तेज होते है और सरकार घबराने लगती है\r\n',neg
'आखिरकार, मामला कोर्ट में पहुंच जाता है\r\n',neg
'आज रिलीज हुई इस फिल्म के टाइटिल से अगर आप यह सोचकर फिल्म देखने जाने की प्लानिंग कर रहे है कि इसमें चालू मसालों की भरमार होगी तो आप गलत हैं\r\n',neg
'आतंकवादी मैनडेरिन का आतंक दिन-प्रतिदिन बढ़ते जा रहा है जिससे सभी चिंतित है\r\n',neg
'आपको ताज्जुब होगा कि प्रॉडक्शन कंपनी ने जब इस फिल्म को इंडियन सेंसर बोर्ड की प्रिव्यू कमिटी के सामने पेश किया तो कमिटी ने इस फिल्म में 150 से ज्यादा कट लगाने के बाद फिल्म को अडल्ट सर्टिफिकेट देने की बात कही\r\n',neg
' इंटरवल से पहले कहानी को लंबा खींचने की कोशिश की गई है, इसी के चलते फिल्म कई बार अपने ट्रैक से उतरती नजर आती है\r\n',neg
'आमतौर पर हॉरर फिल्मों में जब भी बुरी आत्मा या दुष्ट आत्मा जिंदा इंसान को सताने लगती है तो पढ़े-लिखे लोगों के पास भी तीन ही रास्ते होते हैं\r\n',neg
'आशिमा को एक समझदार लड़की बताया गया है, लेकिन शादी के बाद जब उसे पता चलता है कि उसका पति स्पर्म डोनेट करता है तो उसका रूठना जंचता नहीं है\r\n',neg
'इंटरवल के बाद कहानी में गति आती है और घटनाक्रम तेजी से घटते हैं, लेकिन बीच में कई बोरियत भरे पल आते हैं जिसके कारण फिल्म में रूचि खत्म हो जाती है और फिल्म खत्म होने का इंतजार शुरू हो जाता है\r\n',neg
'इंटरवल के बाद कुछ देर के लिए फिल्म में मनोरंजन का ग्राफ नीचे की ओर आता है\r\n',neg
'इंटरवल के बाद यह उम्मीद पूरी तरह धराशायी हो जाती है कि एक अच्छी फिल्म देखने को मिलेगी\r\n',neg
'इत्तेफाक से नायिका का फ्लैट छिन जाता है और वो समझती है कि उसका फ्लैट नायक की शिकायत पर छीना गया है\r\n',neg
'इनकार के प्रचार में जो बातें की गई थीं, उससे फिल्म थोड़ी भटकी हुई लगती है और फिल्म देखने के बाद महसूस होता है कि एक अच्छे विषय के साथ पूरी तरह से न्याय नहीं हो पाया\r\n',neg
'इम्तियाज अली ने करीब 15 साल पहले हाइवे की स्क्रिप्ट पर काम शुरू किया था और करीब डेढ़ साल में उन्होंने इसे फाइनल भी कर लिया, लेकिन इस कहानी को फाइल से सिल्वर स्क्रीन तक आने में बहुत ज्यादा वक्त लगा\r\n',neg
'इस घटना को अब कई साल गुज़र चुके हैं लेकिन आज भी साहिर अपने पापा की मौत भुला नहीं पाया है\r\n',neg
'इस तरह की फिल्मों में गानों की जगह बमुश्किल बनती है और हैरानी की बात तो ये है कि रामू ने इस फिल्म में शादी का भी एक गीत डाल दिया है\r\n',neg
' ‘घोस्ट’ में न ढंग की कहानी है, न संवाद\r\n',neg
' इंटरवल से पहले फिल्म कछुए की रफ्तार से आगे खिसकती है\r\n',neg
'इस फिल्म के डायरेक्टर शुजा  अली करीब पौने दो घंटे की फिल्म में भी दर्शकों को कहानी और किरदारों के साथ कहीं बांधने में कामयाब नहीं रहे\r\n',neg
'इस फिल्म में एक बार फिर कहानी के नाम पर वही मसाले परोसे गए, जो इससे पहले आप दर्जनों बार देख चुके हैं\r\n',neg
'इस सप्ताह रिलीज हुई ‘प्लेयर्स’ में दस हजार करोड़ रुपये का सोना चुराना है, जो ट्रेन द्वारा रशिया से रोमानिया ले जाया जा रहा है\r\n',neg
'इसके बाद कई ट्विस्ट और टर्न्स डाले गए हैं जो बहुत बनावटी हैं\r\n',neg
'इससे पहले टाइगर जिस मिशन पर गया, वहां से खून खराबा करने के बाद ही लौटा\r\n',neg
'इसी तरह के कई किस्से जैसे बस्ती के लोगों का डांसर्स के खिलाफ होना, एक पिता का अपने बेटे का डांसर बनने की बात पसंद नहीं करना, डांसर्स का आपसी विवाद बहुत बनावटी हैं, जिससे फिल्म के साथ दर्शक जुड़ नहीं पाता है\r\n',neg
'इसी बीच शादी में शामिल होने के लिए साहिल के मामा पोपट भाई (परेश रावल) भी आ जाते हैं, जो अपनी पत्नी बबीता (सुष्मिता मुखर्जी) को बेवकूफ बनाकर उसी की आंखों के सामने दूसरी महिलाओं के साथ मौज मस्ती करने में बिजी रहते हैं\r\n',neg
'उसका नाम जानने के लिए ही कुंदन ने मुहल्ले में जोया से पंद्रह थप्पड़ खाए\r\n',neg
'उसके माता-पिता एक टीचर की पढ़ाई पढ़ रही संध्या से उसकी शादी कर देते हैं ताकि बहु को टीचर की नौकरी मिलने के बाद घर के हालात सुधर जाएं लेकिन लड़की मोटी है इसलिए प्रेम अपनी पत्नी से प्यार नहीं करता\r\n',neg
'उसे तो अपना जन्मदिन तक याद नहीं\r\n',neg
' इंटरवल से पहले फिल्म की गति कई बार थम-सी जाती है\r\n',neg
'एक दिन अचानक एजेंट के गायब हो जाता है\r\n',neg
'एक दिन लीला, राम के साथ भागने का फैसला करती है\r\n',neg
'एक लव स्टोरी में जो इमोशंस और स्पार्क चाहिए वो पूरी फिल्म में मिसिंग है\r\n',neg
'एक्टिंग डिपार्टमेंट में फिल्म बेहद निराश करती है\r\n',neg
'एक्टिंग: फिल्म में आधा दर्जन से ज्यादा हसीनाएं है\r\n',neg
'एडिथ अपने आपको दो अलग पुरुषों के बीच घिरा हुआ पाती है\r\n',neg
'\'एमएसजी\' से खफा सेंसर बोर्ड अध्यक्ष का इस्तीफा\r\n',neg
'एमी जैक्सन सुंदर हैं, लेकिन उम्र में वे प्रतीक से एक वर्ष नहीं बल्कि चार-पांच साल बड़ी दिखाई देती हैं और हैं भी\r\n',neg
'ऐक्टिंग : अली जाफर, सिद्धार्थ और दिव्येंदू शर्मा की तुलना पिछली फिल्म के कलाकारों फारूख शेख, रवि वासवानी और राकेश बेदी से करना बेमानी होगा\r\n',neg
'ऐक्टिंग : इमरान हाशमी संजू के किरदार में मुरझाए से लगते हैं\r\n',neg
' इंटरवल से पहले राम-लीला के मिलन और उसके बाद हर दूसरे सीन में गोलियों की बौछार करने में ऐसे फंसे कि कहानी में इमोशन का टच देना पूरी तरह से भूल गए\r\n',neg
'ऐक्टिंग : केशव के किरदार में लिएंडर पूरी तरह अनफिट हैं\r\n',neg
'ऐक्टिंग : चुलबुल पांडे का किरदार फिल्म के दूसरे किरदारों पर इस कदर भारी पड़ा कि दूसरे किरदार बौने बनकर रह गए\r\n',neg
'ऐक्टिंग : नील के साथ सबसे बड़ी मुश्किल उनका लुक है\r\n',neg
'ऐक्टिंग : पूनम पांडे ने पहली बार कैमरे के सामने अपनी दिलकश अदाओं और हॉट ब्यूटी को परोसने के साथ-साथ थोड़ी बहुत ऐक्टिंग करने की भी कोशिश की है, लेकिन ऐक्ट्रेस बनने के लिए उन्हें कैमरे के सामने जिस्म परोसने की बजाएं और भी बहुत कुछ सीखना होगा\r\n',neg
'ऐक्टिंग : फैशन फोटोग्राफर के किरदार में रणदीप का सिलेक्शन समझ से परे है\r\n',neg
'ऐक्टिंग : राहुल बग्गा लीड किरदार में हैं और अपने रोल में बस ठीक-ठाक रहे हैं\r\n',neg
'ऐक्टिंग : सैफ अली खान और जॉन अब्राहम दोनों फिल्म में मॉडल की तरह लगे हैं\r\n',neg
'ऐक्टिंग: आफताब शिवदासानी पूरी फिल्म में मुरझाए हुए और भावहीन लगते हैं\r\n',neg
'ऐक्टिंग: ऐसा लगता है, पूरी फिल्म के दौरान अरशद और सोहा के बीच कौन ज्यादा से ज्यादा ओवरऐक्टिंग करेगा का कॉम्पिटिशन चला और आखिर में दोनों विनर रहे\r\n',neg
'ऐक्टिंग: फिल्म में लीड हीरो को हिरोइन ने अपने काम से फीका कर दिया\r\n',neg
' इंडो-चाइना बॉर्डर के पास करण का हेलिकॉप्टर क्रैश हो जाता है\r\n',neg
'ऐक्टिंग: बॉलिवुड को बाय-बाय बोल चुकीं नेपाली बाला  मनीषा कोइराला ने रामू की इस सी क्लास फिल्म से वापसी करने की गलती है\r\n',neg
'ऐसे दौर में बॉक्स आफिस कलेक्शन का मोह छोड़कर डायरेक्टर विश्वास पाटिल और फिल्म की प्रोडक्शन कंपनी ने जोखिम तो लिया लेकिन कमजोर स्क्रिप्ट और लचर एडिटिंग के चलते सवा दो घंटे की यह म्यूज़िकल फिल्म दर्शकों की उस क्लास की कसौटी पर भी खारी नहीं उतर रही है जिसके लिए इस फिल्म को बनाया गया है\r\n',neg
'ओम पुरी और फरीदा जलाल वगैरह से फिल्म को संभलवाने की कोशिश की गई है, मगर फिल्म पारे की तरह ऐसी फिसली है कि संभाले नहीं संभलती\r\n',neg
'कभी कभी कुछ अनोखा करने के चक्कर में अक्सर हम कुछ गलत कर जाते हैं और आखि‍री में प्रोडक्ट खराब हो जाता है\r\n',neg
'कभी स्कूल में गुंडागर्दी करने के लिए द्वारका आनंद के हाथों स्कूल से निकाले जाने वाला अर्जुन राजवंशी सिंह ( अर्जुन रामपाल) अब राजनीति में अपना मुकाम बनाने के लिए सड़कों पर राजनीति करने में बिजी है\r\n',neg
'कमजोर कड़ी: काफी प्रेडिक्टेबल कहानी है\r\n',neg
'कमजोर कड़ी: फिल्म में टिपिकल वन लाइनर्स और डबल मीनिंग संवाद है जो इसके ऑडियंस के लिए तो ठीक है लेकिन ज्यादा से ज्यादा दर्शकों को खींच पाने में मुश्किलात का सामना कर सकती है\r\n',neg
'कहते हैं,  नशा जब शूटिंग फ्लोर पर गई तो पूनम कैंप की और से ऐसी खबरें मीडिया में जानबूझकर उड़वाई गईं कि शूटिंग के दौरान कैमरामैन , डायरेक्टर के अलावा सेट पर पूनम और हीरो शिवम ही मौजूद रहते हैं\r\n',neg
'कहने को तो ‘घोस्ट’ हॉरर फिल्म है, लेकिन रात को भूत-प्रेत के डर से नहीं बल्कि इस बुरी फिल्म को देखने के अफसोस के कारण नींद नहीं आएगी\r\n',neg
'कहानी : केशव (लिएंडर पेस) ने खुद को बचपन से गंदी गलियों में पाया\r\n',neg
' इंस्पेक्टर कराटे के छोटे-से रोल में संजय दत्त तो खूब जमे, लेकिन हर वक्त मुंह में पान दबाए डॉक्टर के छोटे-से किरदार को जूही चावला ने किस मजबूरी में किया, यह समझ से परे है\r\n',neg
'कहानी : महाराष्ट्र के यवतमाल जिले का गरीब किसान (मकरंद देशपांडे) अपनी जमीन गंवाने का सदमा सह नहीं पाता है और उसकी मौत हो जाती है\r\n',neg
'कहानी : रणबीर सिंह (सैफ अली खान) की प्रेमिका सोनिया (बिपाशा बसु) की एक जबर्दस्त बम धमाके में मौत हो जाती है\r\n',neg
'कहानी : शक्ल से रशियन लगने वाला ड्रग डीलर बोरिस (सैफ अली खान) यूं तो दिल्ली से है, लेकिन बरसों से रशियन के साथ ड्रग्स के धंधे में लगे बोरिस का लुक और बोलने का स्टाइल उसे रशियन बनाता है\r\n',neg
'कहानी ऐसी है कि आगे क्या होने वाला है ये कोई भी बता दे\r\n',neg
'कहानी के साधरण होने में कोई समस्या नहीं है, लेकिन फिल्म कई सवालों के जवाब नहीं देती\r\n',neg
'कहानी बेहतरीन हैं और इस पर मसालेदार फिल्म बनने की अपार संभावनाएं हैं, लेकिन रोहित जुगराज और सुदीप शर्मा ने इतना खराब स्क्रीनप्ले लिखा है कि हैरत होती है फिल्म के निर्माता और निर्देशकों पर कि वे कैसे इस पर करोड़ों रुपये लगाने के लिए राजी हो गए\r\n',neg
'कहानी है सिटी अस्पताल की, जिसमें एक नर्स, डॉक्टर और वार्ड बॉय की क्रूरता पूर्वक हत्या की जाती है\r\n',neg
'कहानी: अमेरिकी स्पोर्ट्स एजेंट ज़ेबी बर्नस्टीन (जॉन हैम) और ऐश वासुदेवन (आसिफ मंडवी) का बिजनेस अब हल्का हो रहा है\r\n',neg
'कहानी: अलका सिंह उर्फ रिवॉल्वर रानी ( कंगना राणावत) का अपने इलाके में ऐसा खौफ है कि उसके सामने कोई जुबान खोलने की हिम्मत नहीं कर सकता\r\n',neg
'कहानी: आदित्य (अध्ययन सुमन) को दिल की बीमारी है\r\n',neg
' इंस्पेक्टर शांति प्रिया के किरदार में सोहा टोटली अनफिट रहीं\r\n',neg
'कहानी: बदनाम गलियों में रज्जो (कंगना राणौत) अपने कोठे पर मुजरा करती है\r\n',neg
'कहानी: स्कूल टीचर सत्यकांत शास्त्री ( मिथुन चक्रवर्ती) अपने गरम मिजाज वाले बड़े बेटे सूर्या ( अक्षय कुमार) की रोज लड़ाई और दूसरों के साथ मारपीट करने की शिकायतों से बेहद परेशान हैं\r\n',neg
